Año,Id_municipio,Municipio,Subregión,Cantidad
2018,76403,La Victoria,Norte,1
2019,76020,Alcalá,Norte,1
2019,76109,Buenaventura,Pacífico,3
2019,76001,Cali,Sur,10
2019,76130,Candelaria,Sur,2
2019,76147,Cartago,Norte,1
2019,76233,Dagua,Sur,1
2019,76520,Palmira,Sur,4
2019,76563,Pradera,Sur,1
2019,76834,Tuluá,Centro,1
2020,76020,Alcalá,Norte,1
2020,76036,Andalucía,Centro,1
2020,76109,Buenaventura,Pacífico,2
2020,76001,Cali,Sur,20
2020,76147,Cartago,Norte,1
2020,76364,Jamundí,Sur,1
2020,76377,La Cumbre,Sur,2
2020,76834,Tuluá,Centro,1
2020,76869,Vijes,Sur,1
2020,76892,Yumbo,Sur,1
2023,76109,Buenaventura,Pacífico,1
2023,76001,Cali,Sur,7
2024,76109,Buenaventura,Pacífico,1
2024,76001,Cali,Sur,8
2024,76364,Jamundí,Sur,1
2024,76400,La Unión,Norte,1
2024,76520,Palmira,Sur,2
2024,76563,Pradera,Sur,1
